,startstationlatitude,startstationlongitude,startstationname,startstationid
0,40.75066386,-74.00176802,10 Ave & W 28 St,489
1,40.6686273,-73.98700053,10 St & 5 Ave,3317
2,40.6662078,-73.98199886,10 St & 7 Ave,3306
3,40.751396,-74.005226,11 Ave & W 27 St,458
4,40.76030096,-73.99884222,11 Ave & W 41 St,478
5,40.771522,-73.990541,11 Ave & W 59 St,530
6,40.76087502,-74.00277668,12 Ave & W 40 St,514
7,40.668603,-73.9904394,12 St & 4 Ave,3322
8,40.666287,-73.98895053,14 St & 5 Ave,3319
9,40.663779,-73.98396846,14 St & 7 Ave,3310
10,40.73221853,-73.98165557,1 Ave & E 15 St,504
11,40.73221853,-73.98165557,1 Ave & E 16 St,504
12,40.7338121919663,-73.9805442094803,1 Ave & E 18 St,2003
13,40.74144387,-73.97536082,1 Ave & E 30 St,536
14,40.75001986,-73.96905301,1 Ave & E 44 St,455
15,40.7612274,-73.96094022,1 Ave & E 62 St,3142
16,40.76500525,-73.95818491,1 Ave & E 68 St,3141
17,40.77140426,-73.9535166,1 Ave & E 78 St,3140
18,40.7817212,-73.94594,1 Ave & E 94 St,3312
19,40.6809591,-73.99905709,1 Pl & Clinton St,3386
20,40.7538334343762,-73.942676782608,21 St & 41 Ave,3237
21,40.75052534,-73.94594845,21 St & 43 Ave,3128
22,40.6724811,-73.99331394,2 Ave & 9 St,3401
23,40.7892105,-73.94370784,2 Ave  & E 104 St,3425
24,40.7898175,-73.94296109,2 Ave & E 105 St,3385
25,40.74290902,-73.97706058,2 Ave & E 31 St,528
26,40.7862586,-73.94552579,2 Ave & E 99 St,3338
27,40.74469738,-73.93540375,31 St & Thomson Ave,3123
28,40.722852,-73.959114,3969.TEMP (Bike The Branches - Central Branch),3014
29,40.6685455,-73.99333264,3 Ave & 14 St,3324
30,40.7877214,-73.94728331,3 Ave & E 100 St,3327
31,40.76312584,-73.96526895,3 Ave & E 62 St,3134
32,40.76873687,-73.96119945,3 Ave & E 71 St,3152
33,40.7699426,-73.96060712,3 Ave & E 72 St,3375
34,40.68683208,-73.9796772,3 Ave & Schermerhorn St,298
35,40.6750705,-73.98775226,3 St & 3 Ave,3373
36,40.6703837,-73.97839676,3 St & 7 Ave,3365
37,40.6777287,-73.99364123,3 St & Hoyt St,3381
38,40.668132,-73.97363831,3 St & Prospect Park West,3354
39,40.74718234,-73.9432635,44 Dr & Jackson Ave,3126
40,40.74708586,-73.94977234,45 Rd & 11 St,3125
41,40.74731,-73.95451,46 Ave & 5 St,3124
42,40.743,-73.93561,47 Ave & 31 St,3221
43,40.7443632870669,-73.9558732509613,48 Ave & 5 St,3122
44,40.6705135,-73.98876585,4 Ave & 9 St,3403
45,40.6728155,-73.98352355,5 Ave & 3 St,3368
46,40.7922553,-73.95249933,5 Ave & E 103 St,3367
47,40.7451677,-73.98683077,5 Ave & E 29 St,474
48,40.76650452,-73.97147595,5 Ave & E 63 St,3136
49,40.77282817,-73.96685276,5 Ave & E 73 St,3137
50,40.7768286343997,-73.9638876914978,5 Ave & E 78 St,3143
51,40.78307,-73.95939,5 Ave & E 88 St,3282
52,40.7857851,-73.957481,5 Ave & E 93 St,3292
53,40.7349610200095,-74.0595030784607,5 Corners Library,3220
54,40.6704836,-73.98208968,5 St & 6 Ave,3405
55,40.6663181,-73.9854617,6 Ave & 12 St,3313
56,40.668127,-73.98377641,6 Ave & 9 St,3304
57,40.724399,-74.004704,6 Ave & Broome St,2004
58,40.72243797,-74.00566443,6 Ave & Canal St,377
59,40.74901271,-73.98848395,6 Ave & W 33 St,505
60,40.6686627,-73.97988067,6 St & 7 Ave,3297
61,40.7727966,-73.95577801,78 St & 2 Ave,3370
62,40.6776147,-73.97324283,7 Ave & Park Pl,3416
63,40.6726029815013,-73.9898300170898,7 St & 3 Ave,3399
64,40.6704922,-73.98541675,7 St & 5 Ave,3404
65,40.740983,-74.001702,8 Ave & W 16 St,3428
66,40.7505853470215,-73.9946848154068,8 Ave & W 31 St,3255
67,40.750967348716,-73.994442075491,8 Ave & W 31 St N,521
68,40.751551,-73.993934,8 Ave & W 33 St,490
69,40.76370739,-73.9851615,8 Ave & W 52 St,447
70,40.6848687475939,-74.0254497528076,8D OPS 01,3036
71,40.74206539,-74.00443172,9 Ave & W 16 St,463
72,40.74317449,-74.00366443,9 Ave & W 18 St,434
73,40.7454973,-74.00197139,9 Ave & W 22 St,509
74,40.7493702419328,-73.9992338418961,9 Ave & W 28 St,3259
75,40.76019252,-73.9912551,9 Ave & W 45 St,479
76,40.74966,-73.9521,9 St & 44 Rd,3127
77,40.69308257,-73.97178913,Adelphi St & Myrtle Ave,270
78,40.7737686702287,-73.9711698889732,Adventures NYC,3257
79,40.6800105,-73.938475,Albany Ave & Fulton St,3044
80,40.722055,-73.989111,Allen St & E Houston St,312
81,40.71605866,-73.99190759,Allen St & Hester St,361
82,40.72019576,-73.98997825,Allen St & Rivington St,401
83,40.722055,-73.989111,Allen St & Stanton St,312
84,40.7746671,-73.98470567,Amsterdam Ave & W 66 St,3356
85,40.7796680900731,-73.9809304475784,Amsterdam Ave & W 73 St,3167
86,40.7829391,-73.9786517,Amsterdam Ave & W 79 St,3360
87,40.78524672,-73.97667321,Amsterdam Ave & W 82 St,3171
88,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl,83
89,40.69165183,-73.9999786,Atlantic Ave & Furman St,398
90,40.72580614,-73.97422494,Avenue D & E 12 St,339
91,40.72082834,-73.97793172,Avenue D & E 3 St,302
92,40.72368361,-73.97574813,Avenue D & E 8 St,266
93,40.7236589,-74.0641943,Baldwin at Montgomery,3225
94,40.6795766,-73.97854971,Baltic St & 5 Ave,3417
95,40.72606,-73.95621,Banker St & Meserole Ave,3109
96,40.73652889,-74.00618026,Bank St & Hudson St,346
97,40.7361967,-74.00859207,Bank St & Washington St,238
98,40.71291224,-74.01020234,Barclay St & Church St,417
99,40.73172428,-74.00674436,Barrow St & Hudson St,127
100,40.71602118,-73.99974372,Bayard St & Baxter St,355
101,40.698650544,-74.082079678,Bayside Park,3217
102,40.72311651,-73.95212324,Bedford Ave & Nassau Ave,3107
103,40.70853074,-73.96408963,Bedford Ave & S 9 St,443
104,40.6809447234773,-73.9756733179092,Bergen St & Flatbush Ave,3414
105,40.6867443,-73.99063168,Bergen St & Smith St,3409
106,40.6765304,-73.97846879,Berkeley Pl & 6 Ave,3339
107,40.7190095,-73.95852515,Berry St & N 8 St,3092
108,40.71622644,-73.98261206,Bialystoker Pl & Delancey St,356
109,40.662987,-73.976918,Bike in Movie Night | Prospect Park Bandshell,3432
110,40.6728064122775,-73.9688658714294,Bike The Branches - Central Branch,3253
111,40.6753495306741,-74.0100203454494,Bike The Branches - Red Hook Branch,3252
112,40.70538077,-73.94976519,Boerum St & Broadway,3071
113,40.6849668,-73.98620772,Bond St & Bergen St,3411
114,40.6896218879033,-73.9830426871777,Bond St & Fulton St,3232
115,40.68807003,-73.98410637,Bond St & Schermerhorn St,395
116,40.70365182,-74.01167797,Broad St & Bridge St,260
117,40.70463334,-74.01361706,Broadway & Battery Pl,304
118,40.71044554,-73.96525063,Broadway & Berry St,389
119,40.73454567,-73.99074142,Broadway & E 14 St,285
120,40.7403432,-73.98955109,Broadway & E 22 St,402
121,40.70925562,-73.95982218,Broadway & Roebling St,3078
122,40.7423543,-73.98915076,Broadway & W 24 St,444
123,40.7462009,-73.98855723,Broadway & W 29 St,486
124,40.74854862,-73.98808416,Broadway & W 32 St,498
125,40.75097711,-73.98765428,Broadway & W 36 St,267
126,40.75172632,-73.98753523,Broadway & W 37 St,362
127,40.75299641,-73.98721619,Broadway & W 39 St,533
128,40.75513557,-73.98658032,Broadway & W 41 St,465
