,startstationlatitude,startstationlongitude,startstationname,startstationid
3,40.751396,-74.00522600000001,11 Ave & W 27 St,458
6,40.76087502,-74.00277668,12 Ave & W 40 St,514
10,40.73221853,-73.98165557,1 Ave & E 15 St,504
11,40.73221853,-73.98165557,1 Ave & E 16 St,504
12,40.733812191966294,-73.9805442094803,1 Ave & E 18 St,2003
13,40.74144387,-73.97536082,1 Ave & E 30 St,536
16,40.76500525,-73.95818491,1 Ave & E 68 St,3141
47,40.7451677,-73.98683077,5 Ave & E 29 St,474
59,40.74901271,-73.98848395,6 Ave & W 33 St,505
66,40.7505853470215,-73.9946848154068,8 Ave & W 31 St,3255
68,40.751551,-73.993934,8 Ave & W 33 St,490
72,40.74317449,-74.00366443,9 Ave & W 18 St,434
73,40.7454973,-74.00197139,9 Ave & W 22 St,509
80,40.722055,-73.989111,Allen St & E Houston St,312
81,40.71605866,-73.99190759,Allen St & Hester St,361
82,40.72019576,-73.98997825,Allen St & Rivington St,401
83,40.722055,-73.989111,Allen St & Stanton St,312
96,40.73652889,-74.00618026,Bank St & Hudson St,346
99,40.73172428,-74.00674436,Barrow St & Hudson St,127
117,40.70463334,-74.01361706,Broadway & Battery Pl,304
119,40.73454567,-73.99074142,Broadway & E 14 St,285
120,40.740343200000005,-73.98955109,Broadway & E 22 St,402
122,40.742354299999995,-73.98915076,Broadway & W 24 St,444
123,40.7462009,-73.98855723,Broadway & W 29 St,486
133,40.76695317,-73.98169333,Broadway & W 58 St,457
134,40.76915505,-73.98191841,Broadway & W 60 St,499
146,40.71427487,-73.98990025,Canal St & Rutgers St,307
149,40.73038599,-74.00214988,Carmine St & 6 Ave,368
172,40.73291553,-74.00711384,Christopher St & Greenwich St,358
177,40.722103786686,-73.997249007225,Cleveland Pl & Spring St,151
232,40.72740794,-73.98142006,E 10 St & Avenue A,445
234,40.72953837,-73.98426726,E 11 St & 1 Ave,326
235,40.73047309,-73.98672378,E 11 St & 2 Ave,237
237,40.73223272,-73.98889957,E 12 St & 3 Ave,483
239,40.72938685,-73.97772429,E 14 St & Avenue B,511
240,40.734232,-73.986923,E 15 St & 3 Ave,297
241,40.73726186,-73.99238967,E 16 St & 5 Ave,496
243,40.73704984,-73.99009296,E 17 St & Broadway,497
245,40.73587678,-73.98205027,E 20 St & 2 Ave,461
246,40.73314259,-73.97573881,E 20 St & FDR Drive,487
248,40.736502,-73.97809472,E 23 St & 1 Ave,545
251,40.73912601,-73.97973776,E 25 St & 2 Ave,507
254,40.72217444,-73.98368779,E 2 St & Avenue B,301
258,40.745712100000006,-73.98194829,E 32 St & Park Ave,472
259,40.744023,-73.976056,E 33 St & 2 Ave,527
263,40.74780373,-73.97344190000001,E 39 St & 2 Ave,518
265,40.72467721,-73.98783413,E 3 St & 1 Ave,428
276,40.726280700000004,-73.98978041,E 4 St & 2 Ave,439
297,40.72453734,-73.98185424,E 6 St & Avenue B,317
307,40.72621788,-73.98379855,E 7 St & Avenue A,432
325,40.72521311,-73.97768752,E 9 St & Avenue C,394
327,40.7175908180598,-73.9962244033813,Elizabeth St & Hester St,263
332,40.71893904,-73.99266288,Forsyth St & Broome St,531
359,40.72743423,-73.99379025,Great Jones St,229
363,40.7390169121,-74.0026376103,Greenwich Ave & 8 Ave,284
364,40.735238,-74.000271,Greenwich Ave & Charles St,383
368,40.71542197,-74.01121978,Greenwich St & Warren St,147
369,40.728846000000004,-74.00859100000001,Greenwich St & W Houston St,347
411,40.73028666,-73.9907647,Lafayette St & E 8 St,293
412,40.72456089,-73.99565293,Lafayette St & Jersey St,250
413,40.72456089,-73.99565293,Lafayette St & Jersey St N,250
414,40.72917025,-73.99810231,LaGuardia Pl & W 3 St,161
428,40.74025878,-73.98409214,Lexington Ave & E 24 St,537
435,40.70569254,-74.01677685,Little West St & 1 Pl,2008
437,40.72710258,-74.00297088,MacDougal St & Prince St,128
465,40.72317958,-73.99480012,Mott St & Prince St,251
505,40.751872999999996,-73.97770600000001,Pershing Square North,519
548,40.711512,-74.01575600000001,South End Ave & Liberty St,3002
555,40.72229346,-73.99147535,Stanton St & Chrystie St,265
560,40.72779126,-73.98564945,St Marks Pl & 1 Ave,438
561,40.7284186,-73.98713956,St Marks Pl & 2 Ave,236
562,40.72066442,-73.98517977,Suffolk St & Stanton St,410
571,40.73492695,-73.99200509,University Pl & E 14 St,382
577,40.715337899999994,-74.01658354,Vesey Pl & River Terrace,327
586,40.73649403,-73.99704374,W 13 St & 6 Ave,345
588,40.739973541034104,-74.0051387250423,W 13 St & Hudson St,3224
589,40.74195138,-74.00803013,W 14 St & The High Line,225
590,40.73935542,-73.99931783,W 15 St & 7 Ave,482
591,40.74334935,-74.00681753,W 16 St & The High Line,212
592,40.74177603,-74.00149746,W 17 St & 8 Ave,116
593,40.73971301,-73.99456405,W 18 St & 6 Ave,168
594,40.746745000000004,-74.007756,W 20 St & 11 Ave,459
595,40.74238787,-73.99726235,W 20 St & 7 Ave,334
597,40.74173969,-73.99415556,W 21 St & 6 Ave,435
598,40.74691959,-74.00451887,W 22 St & 10 Ave,462
599,40.74475148,-73.99915362,W 22 St & 8 Ave,453
601,40.74395411,-73.99144871,W 25 St & 6 Ave,466
602,40.749717753,-74.002950346,W 26 St & 10 Ave,388
603,40.74734825,-73.99723551,W 26 St & 8 Ave,494
612,40.75466591,-73.99138152,W 38 St & 8 Ave,523
625,40.73401143,-74.00293877,W 4 St & 7 Ave S,380
661,40.739323,-74.008119,Washington St & Gansevoort St,405
664,40.72490985,-74.00154702,W Broadway & Spring St,348
669,40.71754834,-74.01322069,West St & Chambers St,426
670,40.70834698,-74.01713445,West Thames St,363
