,startstationname,startstationlatitude,startstationlongitude,endstationname,endstationlatitude,endstationlongitude,probs
1,E 2 St & Avenue B,40.72217444,-73.98368779,Allen St & Stanton St,40.724055,-73.955736,0.9066184582676009
766,W 15 St & 7 Ave,40.73935542,-73.99931783,Allen St & Stanton St,40.724055,-73.955736,0.1466865206313438
911,W 22 St & 10 Ave,40.74691959,-74.00451887,Allen St & Stanton St,40.724055,-73.955736,0.8533304109914224
985,5 Ave & E 29 St,40.7451677,-73.98683077,Allen St & Stanton St,40.724055,-73.955736,0.29414795948137984
1079,Allen St & Rivington St,40.72019576,-73.98997825,Allen St & Stanton St,40.724055,-73.955736,0.8871042322328938
1270,E 12 St & 3 Ave,40.73223272,-73.98889957,Allen St & Stanton St,40.724055,-73.955736,0.9469680300341179
1328,1 Ave & E 30 St,40.74144387,-73.97536082,Allen St & Stanton St,40.724055,-73.955736,0.9061959202544855
1396,E 20 St & 2 Ave,40.73587678,-73.98205027,Allen St & Stanton St,40.724055,-73.955736,0.8683917482755409
1535,E 6 St & Avenue B,40.72453734,-73.98185424,Allen St & Stanton St,40.724055,-73.955736,0.3991031495397286
1546,E 7 St & Avenue A,40.72621788,-73.98379855,Allen St & Stanton St,40.724055,-73.955736,0.9007907453562694
1597,Barrow St & Hudson St,40.73172428,-74.00674436,Allen St & Stanton St,40.724055,-73.955736,0.655219590270457
1681,St Marks Pl & 1 Ave,40.72779126,-73.98564945,Allen St & Stanton St,40.724055,-73.955736,0.9865689545539458
1696,W 17 St & 8 Ave,40.74177603,-74.00149746,Allen St & Stanton St,40.724055,-73.955736,0.6481895882282477
1776,Allen St & Stanton St,40.722055,-73.989111,Allen St & Stanton St,40.724055,-73.955736,0.1958374885786346
1818,Lexington Ave & E 24 St,40.74025878,-73.98409214,Allen St & Stanton St,40.724055,-73.955736,0.47269454304340763
1907,Allen St & Hester St,40.71605866,-73.99190759,Allen St & Stanton St,40.724055,-73.955736,0.8682261277050297
2528,St Marks Pl & 2 Ave,40.7284186,-73.98713956,Allen St & Stanton St,40.724055,-73.955736,0.3009239248504497
2944,Carmine St & 6 Ave,40.73038599,-74.00214988,Allen St & Stanton St,40.724055,-73.955736,0.5236555886899458
2970,W 20 St & 7 Ave,40.74238787,-73.99726235,Allen St & Stanton St,40.724055,-73.955736,0.46438358034317007
3122,5 Ave & E 29 St,40.7451677,-73.98683077,Allen St & Stanton St,40.724055,-73.955736,0.7427301146942582
3341,St Marks Pl & 2 Ave,40.7284186,-73.98713956,Allen St & Stanton St,40.724055,-73.955736,0.897140645993223
3367,Broadway & E 22 St,40.740343200000005,-73.98955109,Allen St & Stanton St,40.724055,-73.955736,0.6425210878937291
3487,W 13 St & 6 Ave,40.73649403,-73.99704374,Allen St & Stanton St,40.724055,-73.955736,0.16761424656657042
3500,MacDougal St & Prince St,40.72710258,-74.00297088,Allen St & Stanton St,40.724055,-73.955736,0.46882354002169224
3530,Forsyth St & Broome St,40.71893904,-73.99266288,Allen St & Stanton St,40.724055,-73.955736,0.2516655914432192
3551,Allen St & Stanton St,40.722055,-73.989111,Allen St & Stanton St,40.724055,-73.955736,0.12027740331272574
3605,E 7 St & Avenue A,40.72621788,-73.98379855,Allen St & Stanton St,40.724055,-73.955736,0.7972095496715519
3701,E 32 St & Park Ave,40.745712100000006,-73.98194829,Allen St & Stanton St,40.724055,-73.955736,0.5192314280716386
3744,Lafayette St & Jersey St,40.72456089,-73.99565293,Allen St & Stanton St,40.724055,-73.955736,0.8893614907357987
3804,E 4 St & 2 Ave,40.726280700000004,-73.98978041,Allen St & Stanton St,40.724055,-73.955736,0.9792209438311419
3924,Forsyth St & Broome St,40.71893904,-73.99266288,Allen St & Stanton St,40.724055,-73.955736,0.8184884145012741
4090,Forsyth St & Broome St,40.71893904,-73.99266288,Allen St & Stanton St,40.724055,-73.955736,0.7488537026404852
4095,MacDougal St & Prince St,40.72710258,-74.00297088,Allen St & Stanton St,40.724055,-73.955736,0.06120351163085391
4123,Mott St & Prince St,40.72317958,-73.99480012,Allen St & Stanton St,40.724055,-73.955736,0.7179638997936921
4317,W Broadway & Spring St,40.72490985,-74.00154702,Allen St & Stanton St,40.724055,-73.955736,0.2581561219164037
4432,Allen St & Hester St,40.71605866,-73.99190759,Allen St & Stanton St,40.724055,-73.955736,0.43073107657155807
4450,W 14 St & The High Line,40.74195138,-74.00803013,Allen St & Stanton St,40.724055,-73.955736,0.24077872302096104
4656,Mott St & Prince St,40.72317958,-73.99480012,Allen St & Stanton St,40.724055,-73.955736,0.31529439820764293
4668,Broadway & E 22 St,40.740343200000005,-73.98955109,Allen St & Stanton St,40.724055,-73.955736,0.04728176739850776
4706,E 39 St & 2 Ave,40.74780373,-73.97344190000001,Allen St & Stanton St,40.724055,-73.955736,0.23810637023571568
4765,E 20 St & 2 Ave,40.73587678,-73.98205027,Allen St & Stanton St,40.724055,-73.955736,0.571227400930335
4768,W 26 St & 8 Ave,40.74734825,-73.99723551,Allen St & Stanton St,40.724055,-73.955736,0.7910303503813104
4844,12 Ave & W 40 St,40.76087502,-74.00277668,Allen St & Stanton St,40.724055,-73.955736,0.6986690237538083
4845,Barrow St & Hudson St,40.73172428,-74.00674436,Allen St & Stanton St,40.724055,-73.955736,0.9114214693029553
5024,University Pl & E 14 St,40.73492695,-73.99200509,Allen St & Stanton St,40.724055,-73.955736,0.6808438562316295
5030,St Marks Pl & 2 Ave,40.7284186,-73.98713956,Allen St & Stanton St,40.724055,-73.955736,0.9093098988346356
5051,MacDougal St & Prince St,40.72710258,-74.00297088,Allen St & Stanton St,40.724055,-73.955736,0.5680517596276241
5191,E 20 St & 2 Ave,40.73587678,-73.98205027,Allen St & Stanton St,40.724055,-73.955736,0.517054637589235
5224,E 4 St & 2 Ave,40.726280700000004,-73.98978041,Allen St & Stanton St,40.724055,-73.955736,0.11935841799303015
5226,St Marks Pl & 1 Ave,40.72779126,-73.98564945,Allen St & Stanton St,40.724055,-73.955736,0.57191649561522
5665,W 26 St & 10 Ave,40.749717753,-74.002950346,Allen St & Stanton St,40.724055,-73.955736,0.9779128146880043
5787,Allen St & Hester St,40.71605866,-73.99190759,Allen St & Stanton St,40.724055,-73.955736,0.648666697661172
5991,9 Ave & W 18 St,40.74317449,-74.00366443,Allen St & Stanton St,40.724055,-73.955736,0.11165790738546055
6051,Carmine St & 6 Ave,40.73038599,-74.00214988,Allen St & Stanton St,40.724055,-73.955736,0.17681478796337724
6244,Lafayette St & Jersey St,40.72456089,-73.99565293,Allen St & Stanton St,40.724055,-73.955736,0.17471299051955502
6274,Carmine St & 6 Ave,40.73038599,-74.00214988,Allen St & Stanton St,40.724055,-73.955736,0.40632687697569747
6283,MacDougal St & Prince St,40.72710258,-74.00297088,Allen St & Stanton St,40.724055,-73.955736,0.33787643258192523
6371,E 39 St & 2 Ave,40.74780373,-73.97344190000001,Allen St & Stanton St,40.724055,-73.955736,0.4588975404992631
6378,Lexington Ave & E 24 St,40.74025878,-73.98409214,Allen St & Stanton St,40.724055,-73.955736,0.7702092761404449
6418,Broadway & W 24 St,40.742354299999995,-73.98915076,Allen St & Stanton St,40.724055,-73.955736,0.4160365405186258
6786,E 11 St & 2 Ave,40.73047309,-73.98672378,Allen St & Stanton St,40.724055,-73.955736,0.9692522030072203
6926,West Thames St,40.70834698,-74.01713445,Allen St & Stanton St,40.724055,-73.955736,0.6076870977001805
6991,W 22 St & 8 Ave,40.74475148,-73.99915362,Allen St & Stanton St,40.724055,-73.955736,0.38095966687844574
7044,Allen St & Hester St,40.71605866,-73.99190759,Allen St & Stanton St,40.724055,-73.955736,0.6473631087270753
7052,W 26 St & 10 Ave,40.749717753,-74.002950346,Allen St & Stanton St,40.724055,-73.955736,0.18371473627306023
7790,Broadway & W 58 St,40.76695317,-73.98169333,Allen St & Stanton St,40.724055,-73.955736,0.3821885828668029
7813,9 Ave & W 22 St,40.7454973,-74.00197139,Allen St & Stanton St,40.724055,-73.955736,0.6296691964698623
7967,W 20 St & 7 Ave,40.74238787,-73.99726235,Allen St & Stanton St,40.724055,-73.955736,0.9306382949080052
7999,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,Allen St & Stanton St,40.724055,-73.955736,0.21644609012900928
8105,E 11 St & 1 Ave,40.72953837,-73.98426726,Allen St & Stanton St,40.724055,-73.955736,0.7004178951713832
8184,E 11 St & 2 Ave,40.73047309,-73.98672378,Allen St & Stanton St,40.724055,-73.955736,0.469968845855647
8212,Cleveland Pl & Spring St,40.722103786686,-73.997249007225,Allen St & Stanton St,40.724055,-73.955736,0.9531643115516983
8260,E 4 St & 2 Ave,40.726280700000004,-73.98978041,Allen St & Stanton St,40.724055,-73.955736,0.9044213265539159
8295,W 25 St & 6 Ave,40.74395411,-73.99144871,Allen St & Stanton St,40.724055,-73.955736,0.6435369861229621
8439,W 16 St & The High Line,40.74334935,-74.00681753,Allen St & Stanton St,40.724055,-73.955736,0.2749001843323352
8440,W 16 St & The High Line,40.74334935,-74.00681753,Allen St & Stanton St,40.724055,-73.955736,0.05725445596588308
8573,Allen St & Hester St,40.71605866,-73.99190759,Allen St & Stanton St,40.724055,-73.955736,0.3433360369212609
8654,Great Jones St,40.72743423,-73.99379025,Allen St & Stanton St,40.724055,-73.955736,0.500614018752572
8737,Broadway & E 14 St,40.73454567,-73.99074142,Allen St & Stanton St,40.724055,-73.955736,0.41826499518557614
8750,Lexington Ave & E 24 St,40.74025878,-73.98409214,Allen St & Stanton St,40.724055,-73.955736,0.6887183303267153
8776,Little West St & 1 Pl,40.70569254,-74.01677685,Allen St & Stanton St,40.724055,-73.955736,0.7254012112166646
8809,1 Ave & E 15 St,40.73221853,-73.98165557,Allen St & Stanton St,40.724055,-73.955736,0.6860830324447968
9499,Canal St & Rutgers St,40.71427487,-73.98990025,Allen St & Stanton St,40.724055,-73.955736,0.9951041894397087
9558,Carmine St & 6 Ave,40.73038599,-74.00214988,Allen St & Stanton St,40.724055,-73.955736,0.8757749568641233
9559,Carmine St & 6 Ave,40.73038599,-74.00214988,Allen St & Stanton St,40.724055,-73.955736,0.06776239491801239
9560,Carmine St & 6 Ave,40.73038599,-74.00214988,Allen St & Stanton St,40.724055,-73.955736,0.4226818031327799
9561,Carmine St & 6 Ave,40.73038599,-74.00214988,Allen St & Stanton St,40.724055,-73.955736,0.41785787326255797
9730,Great Jones St,40.72743423,-73.99379025,Allen St & Stanton St,40.724055,-73.955736,0.7300763393164404
9824,E 32 St & Park Ave,40.745712100000006,-73.98194829,Allen St & Stanton St,40.724055,-73.955736,0.7756320777331583
9863,W 26 St & 8 Ave,40.74734825,-73.99723551,Allen St & Stanton St,40.724055,-73.955736,0.2691061224003063
10054,E 6 St & Avenue B,40.72453734,-73.98185424,Allen St & Stanton St,40.724055,-73.955736,0.993385730773928
10085,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,Allen St & Stanton St,40.724055,-73.955736,0.3284117667221538
10213,E 25 St & 2 Ave,40.73912601,-73.97973776,Allen St & Stanton St,40.724055,-73.955736,0.7397435104924236
10258,Cleveland Pl & Spring St,40.722103786686,-73.997249007225,Allen St & Stanton St,40.724055,-73.955736,0.7883809253666113
10282,Mott St & Prince St,40.72317958,-73.99480012,Allen St & Stanton St,40.724055,-73.955736,0.6572055545996911
10331,E 12 St & 3 Ave,40.73223272,-73.98889957,Allen St & Stanton St,40.724055,-73.955736,0.9370944493618139
10408,E 4 St & 2 Ave,40.726280700000004,-73.98978041,Allen St & Stanton St,40.724055,-73.955736,0.12007987598691428
11134,9 Ave & W 18 St,40.74317449,-74.00366443,Allen St & Stanton St,40.724055,-73.955736,0.7797380455283982
11297,E 4 St & 2 Ave,40.726280700000004,-73.98978041,Allen St & Stanton St,40.724055,-73.955736,0.5236782263781952
11309,Carmine St & 6 Ave,40.73038599,-74.00214988,Allen St & Stanton St,40.724055,-73.955736,0.9396123490073238
11449,E 6 St & Avenue B,40.72453734,-73.98185424,Allen St & Stanton St,40.724055,-73.955736,0.9281492027676127
11612,Allen St & Hester St,40.71605866,-73.99190759,Allen St & Stanton St,40.724055,-73.955736,0.7058562785443754
11660,W 26 St & 8 Ave,40.74734825,-73.99723551,Allen St & Stanton St,40.724055,-73.955736,0.010595300466027968
11672,Canal St & Rutgers St,40.71427487,-73.98990025,Allen St & Stanton St,40.724055,-73.955736,0.35783793862109703
11679,E 4 St & 2 Ave,40.726280700000004,-73.98978041,Allen St & Stanton St,40.724055,-73.955736,0.932159271211476
11821,West Thames St,40.70834698,-74.01713445,Allen St & Stanton St,40.724055,-73.955736,0.7730985167410647
11822,9 Ave & W 18 St,40.74317449,-74.00366443,Allen St & Stanton St,40.724055,-73.955736,0.400808399718813
11851,W 21 St & 6 Ave,40.74173969,-73.99415556,Allen St & Stanton St,40.724055,-73.955736,0.9999784708472002
11912,E 12 St & 3 Ave,40.73223272,-73.98889957,Allen St & Stanton St,40.724055,-73.955736,0.83069023546602
11965,E 14 St & Avenue B,40.72938685,-73.97772429,Allen St & Stanton St,40.724055,-73.955736,0.4490504582916768
12049,Lafayette St & E 8 St,40.73028666,-73.9907647,Allen St & Stanton St,40.724055,-73.955736,0.339191508381942
12061,Pershing Square North,40.751872999999996,-73.97770600000001,Allen St & Stanton St,40.724055,-73.955736,0.20789186174751728
12179,Carmine St & 6 Ave,40.73038599,-74.00214988,Allen St & Stanton St,40.724055,-73.955736,0.2636614861251212
12227,E 12 St & 3 Ave,40.73223272,-73.98889957,Allen St & Stanton St,40.724055,-73.955736,0.02507432866426873
